Cell Host & Microbe	12.328
AMERICAN JOURNAL OF PSYCHIATRY	12.295
AMERICAN JOURNAL OF PSYCHIATRY	12.295
COORDINATION CHEMISTRY REVIEWS	12.239
Annual Review of Microbiology	12.182
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	12.113
JAMA Psychiatry	12.008
JAMA Psychiatry	12.008
TRENDS IN CELL BIOLOGY	12.007
TRENDS IN BIOTECHNOLOGY	11.958
Wiley Interdisciplinary Reviews-Computational Molecular Science	11.885
Annual Review of Materials Research	11.854
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	11.808
ADVANCED FUNCTIONAL MATERIALS	11.805
Autophagy	11.753
Nature Geoscience	11.74
TRENDS IN PHARMACOLOGICAL SCIENCES	11.539
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	11.476
Nature Communications	11.47
JOURNAL OF HEPATOLOGY	11.336
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	11.261
Annual Review of Nuclear and Particle Science	11.256
TRENDS IN BIOCHEMICAL SCIENCES	11.227
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES	11.215
Annual Review of Fluid Mechanics	11.163
HEPATOLOGY	11.055
CIRCULATION RESEARCH	11.019
AMERICAN JOURNAL OF HUMAN GENETICS	10.931
Molecular Systems Biology	10.872
GENOME BIOLOGY	10.81
GENES & DEVELOPMENT	10.798
ACTA NEUROPATHOLOGICA	10.762
AMERICAN JOURNAL OF GASTROENTEROLOGY	10.755
ECOLOGY LETTERS	10.689
Annual Review of Ecology Evolution and Systematics	10.562
BLOOD	10.452
Kidney International Supplements	10.435
EMBO JOURNAL	10.434
LEUKEMIA	10.431
TRENDS IN IMMUNOLOGY	10.399
ANNALS OF THE RHEUMATIC DISEASES	10.377
Nano Energy	10.325
BIOLOGICAL PSYCHIATRY	10.255
MOLECULAR ASPECTS OF MEDICINE	10.238
HUMAN REPRODUCTION UPDATE	10.165
IMMUNOLOGICAL REVIEWS	10.12
NPG Asia Materials	10.118
Advances in Optics and Photonics	10.111
NATURAL PRODUCT REPORTS	10.107
Lancet Global Health	10.042
Lancet Global Health	10.042
PROGRESS IN LIPID RESEARCH	10.015
Advances in Catalysis	10
PROGRESS IN NEUROBIOLOGY	9.992
ANNALS OF NEUROLOGY	9.977
TRENDS IN GENETICS	9.918
Nature Reviews Rheumatology	9.845
JOURNAL OF CELL BIOLOGY	9.834
PHARMACOLOGY & THERAPEUTICS	9.723
DEVELOPMENTAL CELL	9.708
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	9.674
